iter	Passed	Remaining
977	21083	474
978	21104	452
979	21124	431
980	21145	409
981	21164	387
982	21185	366
983	21209	344
984	21229	323
985	21250	301
986	21270	280
987	21293	258
988	21315	237
989	21335	215
990	21356	193
991	21379	172
992	21399	150
993	21420	129
994	21441	107
995	21460	86
996	21481	64
997	21502	43
998	21523	21
999	21543	0
