 '149' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.003, 'method': 'reranked_own_rec', 'precision': 0.19425587467362923}
 '150' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.004, 'method': 'reranked_own_rec', 'precision': 0.19456919060052222}
 '151' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.005, 'method': 'reranked_own_rec', 'precision': 0.1949869451697128}
 '152' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.006, 'method': 'reranked_own_rec', 'precision': 0.19425587467362923}
 '153' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.007, 'method': 'reranked_own_rec', 'precision': 0.19550913838120107}
 '154' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.008, 'method': 'reranked_own_rec', 'precision': 0.19436031331592693}
 '155' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.009000000000000001, 'method': 'reranked_own_rec', 'precision': 0.1939425587467363}
 '156' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.01, 'method': 'reranked_own_rec', 'precision': 0.19477806788511753}
 '157' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.011, 'method': 'reranked_own_rec', 'precision': 0.191644908616188}
 '158' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.012, 'method': 'reranked_own_rec', 'precision': 0.1887206266318538}
 '159' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.013000000000000001, 'method': 'reranked_own_rec', 'precision': 0.1908093994778068}
 '160' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.014, 'method': 'reranked_own_rec', 'precision': 0.18851174934725848}
 '161' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.015, 'method': 'reranked_own_rec', 'precision': 0.19289817232375978}
 '162' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.016, 'method': 'reranked_own_rec', 'precision': 0.18892950391644908}
 '163' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.017, 'method': 'reranked_own_rec', 'precision': 0.1876762402088773}
 '164' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.018000000000000002, 'method': 'reranked_own_rec', 'precision': 0.18736292428198434}
 '165' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.019, 'method': 'reranked_own_rec', 'precision': 0.18715404699738905}
 '166' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.02, 'method': 'reranked_own_rec', 'precision': 0.19007832898172325}
 '167' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.021, 'method': 'reranked_own_rec', 'precision': 0.18903394255874673}
 '168' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.022, 'method': 'reranked_own_rec', 'precision': 0.1899738903394256}
 '169' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.023, 'method': 'reranked_own_rec', 'precision': 0.18872062663185377}
 '170' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.024, 'method': 'reranked_own_rec', 'precision': 0.18746736292428198}
 '171' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.025, 'method': 'reranked_own_rec', 'precision': 0.18861618798955612}
 '172' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.026000000000000002, 'method': 'reranked_own_rec', 'precision': 0.18631853785900784}
 '173' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.027, 'method': 'reranked_own_rec', 'precision': 0.18882506527415144}
